ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2022;223966;Feminino;45 a 59;46;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Boa;Capital;Trabalha;2 a 3 SM;RS;2.159513503
2022;223967;Feminino;35 a 44;35;Médio completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Boa;Ótima;Ótima;Região metropolitana;Trabalha;2 a 3 SM;RS;2.159513503
2022;223968;Feminino;35 a 44;31;Médio completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Boa;Ótima;Ótima;Região metropolitana;Não trabalha;2 a 3 SM;RS;2.159513503
2022;223969;Feminino;25 a 34;30;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Boa;Boa;Boa;Região metropolitana;Trabalha;2 a 3 SM;RS;2.159513503
2022;223970;Masculino;60 ou mais;64;Médio completo;Nunca ouviu falar;Conhece mais ou menos;nan;Boa;nan;Ótima;Interior;Trabalha;2 a 3 SM;RS;1.567666826
2022;223971;Feminino;25 a 34;27;Médio completo;Conhece bem;Conhece bem;Ótima;Ótima;Regular;Regular;Região metropolitana;Trabalha;2 a 3 SM;RS;2.159513503
2022;223972;Masculino;16 a 24;21;Médio completo;Conhece mais ou menos;Conhece bem;Ótima;Ótima;Ótima;Ótima;Interior;Trabalha;2 a 3 SM;RS;1.567666826
2022;223973;Masculino;35 a 44;43;Médio completo;Conhece só de ouvir falar;Conhece bem;Boa;Boa;Boa;Regular;Interior;Trabalha;2 a 3 SM;RS;1.567666826
2022;223974;Masculino;60 ou mais;63;Médio completo;Conhece só de ouvir falar;Conhece bem;Ótima;Ótima;Ótima;Ótima;Interior;Não trabalha;2 a 3 SM;RS;1.567666826
2022;223975;Feminino;45 a 59;46;Superior completo;Conhece bem;Conhece bem;Ótima;Ótima;Ótima;Ótima;Interior;Trabalha;2 a 3 SM;RS;2.159513503
2022;223976;Feminino;25 a 34;35;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Capital;Não trabalha;1 a 2 SM;RS;2.159513503
2022;223977;Masculino;60 ou mais;74;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Trabalha;1 a 2 SM;RS;1.567666826
2022;223978;Feminino;25 a 34;25;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Não sabe;nan;Boa;Capital;Trabalha;1 a 2 SM;RS;2.159513503
